Names,Price,Links
Apple iPad Air 2 2nd WiFi + Cellular Unlocked 16GB 32GB 64GB 128GB - Good,$139.99,https://www.ebay.com/itm/352252833744?epid=228495611&hash=item5203e7afd0:g:k3UAAOSwFMdaV62B&amdata=enc%3AAQAIAAAAwDHtGWFCa8LS1OWFXvsglHAuuuoJChuO4aOEC%2FLuKFCtBQ4YZXJi3e0Ri122RbhXnKWie1wUl5fzMvw5IUx6iZdH%2B%2F8q0bjhrE3l6JRQazBofxTA58f5ST6KSb8ZeBdqy%2BkcDnV5fbDj7IAbj7a7ybT0ou08hQUb7dF1N53nggyb8PXQ52N0HEGVCRkryrYZjBeA%2FGqqxeowmxUrATjM9wEnQgODmJLOkTtrLElB6z9wrL4PL57t%2BmkHmStqUtRWmg%3D%3D%7Ctkp%3ABlBMUKrPl9mVYg
"Apple iPad Air 3rd Gen 64GB, Wi-Fi + 4G (Unlocked), 10.5in - Space Gray - Good",$228.99,https://www.ebay.com/itm/256065639777?epid=11030596251&hash=item3b9eb39561:g:cscAAOSwRA1kVSmS&amdata=enc%3AAQAIAAAA4Lusi04zk9zoy1DIA6Kl9bOj%2FBC%2FqrgpQ98Gl9zFfJHlDc0axo5ZeW4KJjFn6YVIZ06UkqUzfxs1sMycpDLTSkga8tAPEjeBP1Ev3Ro93t6k9%2FYYeTRg9UWoOfjJZZggquyE2bvuCv38ykl9d4nmuyUDrI9XvVOEcE36YpRDbyfOE9j7D6U0jPFNvEtmRLSSz7luwQ6VVV00%2BtAFiJKDtmU5wkpMHeGt4rmNSN8z1IH9XqxAd1G0o1PCWw488B35ufZYMN9tgMThqdO8pyrL%2BosQYFtEt7saQYGz1NZ31YzM%7Ctkp%3ABFBMrM-X2ZVi
"2021 Apple iPad 9th Gen 64/256GB WiFi 10.2""",$295.00,https://www.ebay.com/itm/383791923777?epid=15049285841&hash=item595bc80241:g:5R0AAOSwMDZhTrQk&amdata=enc%3AAQAIAAAA0O4D%2BxNAH38CYb1bq6%2FlOr3gPQkBi7fks6Kj7ZwUx09%2BP2mA8lVBKWkRrnDTGHhXerw2X3f0FykPFC6X8cBQtjHW%2BGl9rcrC0FOyXxgG648CdwS9lyLjgz%2FzyncNxRmjpsJpLWN0Uri7jhOJvjvq0ZUfq0d28PnQ0dF6AVcrxqdlHYyMNljdfBhGOeYyYQhkmsj4c9%2BO5OnWtx%2BWYpFbUuLokbgjY10mUWnWfZgmtri6eXeYJRM9NizrL8NTLfPr2sPWhlRF%2BGEd0ySytlAGblI%3D%7Ctkp%3ABFBMrM-X2ZVi
"Apple iPad 6th Gen 9.7"" 32GB A1954 WiFi 4G LTE Factory Unlocked Tablet Very Good",$159.99,https://www.ebay.com/itm/385165729238?hash=item59adaa9dd6:g:EbIAAOSwpzdi4Y~8&amdata=enc%3AAQAIAAAA0FiktqlZLI3Agsz89Om4G35MNfzGwVTwA3MMHDtWzfxLwY8Cuv1OlV8Dp8igaf8kXNvmmAz57T0KlM7%2FZb7gWKTx99MeaZBkwpXd99pV8rwiki5%2BjGgJeHkGn119aMqLKTCsduaQk4YVbcwl3ihTqJbp7t6urZ1gYiR2%2BstAgelGzlIV1o7liurV7blJrBk8hJtkLe%2FzM1mHKYn%2FysITdi2Dp6ShHeLn5Barur50SJa3Mw0CHzUmoqT%2FMmxGg4p6sMHP%2FHG%2FNTYOJnm3h%2Br3gDU%3D%7Ctkp%3ABFBMrM-X2ZVi
"APPLE IPAD AIR 4TH GEN, 64GB STORAGE (A05009125)",$299.99,https://www.ebay.com/itm/155596728079?epid=9040884236&hash=item243a49a70f:g:OMAAAOSwjJ5kfNUL&amdata=enc%3AAQAIAAAAwKqXoRG2%2FtlYPTm93MTnFZHwI0tiiRuaU2sbe6f2qOArjwNPk%2F4OtZXYqeS93PR8ZoNqLmsxACIhyyWgkEC2%2BNJtxI4xJsbZFQNqVC%2BO686D4081X6nw4fCb51K%2BzwNNW9rdUleXxinMUr0KhHBHqNbds%2B0E%2BVsiv4jChps2SRB8OrGJgDuqrH9iRRc8qvJNrKNQ7Fr96YgpTkv1bM0JW0swd7fxMenhBFAsP%2Bn27HOa%2FR%2BdDyZHtpLL7NBcerCj5g%3D%3D%7Ctkp%3ABk9SR6zPl9mVYg
"2021 Apple iPad 9th Gen 64/256GB WiFi 10.2"" SHIPS SAME DAY!!!",$290.00,https://www.ebay.com/itm/334421041833?epid=15049285841&hash=item4ddd0c22a9:g:XZIAAOSwAWxh7xZx&amdata=enc%3AAQAIAAAA4Eq8%2B21vOhDAMxLIAgHhp6mhbvchyVUEVy5x8BbAOrI6E5QY0V45OtnSu4qFkFQLzSkOEd6P4MASrCpHVi178WUc%2FOjmws5gAKQnX7irQZpE2goOAD5bHaSDoFvqDlpeV5nV9GKXyjW41ve5DQfT6Ra9wfiAsaePZzQ75c5ob%2FmwMHlpKZROg0b7qhxdQeljkAl%2FazAWKchUmaksoAAYG861wuSVt%2BFUOhrgsWNBh7j76pS0gGE0Gh111BHf7pHVKMVn375QPVbU%2FrTYdpcD4YWMPLBd%2B64bTu96hxreSVS2%7Ctkp%3ABk9SR6zPl9mVYg
"Apple iPad Air 4th Gen. 64GB, Wi-Fi, 10.9 in - Rose Gold",$299.99,https://www.ebay.com/itm/115812306684?epid=15040889131&hash=item1af6f38efc:g:tKgAAOSwztFkbCvG&amdata=enc%3AAQAIAAAA4IFNrQPdZeNwnViEFpNxCJQK2FsMrLlv5e%2FiQPHWKACmwLO%2F8B%2FF7K4NqaKv6jigs%2Fd2uB4lVRzacbkw4nb5snYfYFm4AMichtm8HPljmbHQJNzLVWroE6Hhn9Bz7lbHlkmhjRKnx3YkUHtppT8TU5EodHeXgWCE7c%2BRWUA5Ig52riNx%2FZJSbCW8VkKUXU2VKvLyVNDvd4kI2raK9a55i3lT0B2U2Z544RvYGTpY0W6NScVoy5HLedLjsBwpzlNLtIJaOXJqCYZu%2BU2cW2d8dhPJev4SgWwcaIzFryvNNTI7%7Ctkp%3ABk9SR6zPl9mVYg
"Apple iPad Air 4th Gen 64GB, Wi-Fi, 10.9 in Space Gray - Touch ID w Original box",$318.89,https://www.ebay.com/itm/204363449331?epid=15040889178&hash=item2f9502c3f3:g:-n0AAOSwtSZkg-0c&amdata=enc%3AAQAIAAAAwODP2S2THn%2Ba65h7DVJsvjgd316xssZRL%2B5Ky5Ci5tqbIHGyjKRgiaO4ielJV217nsxPzmL2wsGqb4U7iPjSBJ49yZ1rhSuyeiM50p17eVUZGVeNESz%2FFg2zf7vF0oBWRiPreJCoCZNRE%2FbCGEsoXYwodqqEqbz%2Fp%2FfdQTVwF%2BgD3064IijFz4XwXJq8MiYc6RI6KFwjDnFiy1vEiAPT2zg%2F0zgWd911RfvicD%2FEGumQBI4yLh%2Ft%2F7Br%2FiZD6c%2FjIA%3D%3D%7Ctkp%3ABk9SR6zPl9mVYg
2021 Apple iPad 9th Gen 10.2-inch (Wi-Fi Only/64GB/Sliver/iPadOS/MK2L3LL/A),$249.00,https://www.ebay.com/itm/265555301315?epid=21050652157&hash=item3dd45453c3:g:avcAAOSwWbNkbXtf&amdata=enc%3AAQAIAAAAwBqGGRHn8v41kz9MNDN6gjtdPIK8PlvFtTXkGmLPvxu3VVkBl7ODyWOEPcHSZjntiQF9HPRZOGZPojBcxfs%2Fbn8qhnXapzIO1us1T23I4kQs%2BkRCPsfqMSuC9vROaPFm9ITfgkmHz8vfnXJ5zDz9%2BqiNW%2Fs7I%2BYkozVwQ25JUS36%2FIJ4DGK7aJllygL%2BPuQl45%2FNJ3HBcTAKbzTeFCoNi6I0PLWuGNeO2di%2FCiqso1ZHNR%2BFP4aEVXLet1OajNW6VQ%3D%3D%7Ctkp%3ABk9SR6zPl9mVYg
Apple iPad 8 (2020) - 32GB - All Colors - 4G (Unlocked) - Good Condition,$219.99,https://www.ebay.com/itm/194795668738?epid=19040886091&hash=item2d5aba0502:g:EPkAAOSwB5hh~Ois&amdata=enc%3AAQAIAAAA4F7WzCKC%2B42Wur33b7mgsoeDvFhbn7xSeDFN05tnEJQgYlOdmNGQMqtB%2BKCcpQxNgSluIa1zem%2B4MO8iwNSl362%2Bl9wVNKypZYyGSpnr9LmREmxIoXzJm2p1AHHyAjiaUK1c8MYgzjoWEeYl5l%2FSa500raZEs8leOqEg9i5ZnA3VRTC4MSMe53XBtp7KLDpjb7G6aWrxufBDwE8eEHPUwMOqqiB1AO4vgAAW2axBWriI95GAPJzwKMeZFCWrVG00uhg7y%2BBe2p1RGB%2BL6PwMXjngYF0OP89t1KyJ4%2B6cXF3j%7Ctkp%3ABk9SR67Pl9mVYg
